id,Name,2y,5y,20y,glofasstation
229,MW26_X63,4421.88,5311.56,6465.62,MW26
230,MW27_X64,5396.65,6819.41,8664.98,MW27
231,MW28_X59,590.3,848.18,1182.69,MW28
232,MW29_X65,53.01,78.48,111.53,MW29
233,MW30_X66,4127.71,4814.68,5705.79,MW30
234,MW31_X67,96.28,117.29,144.56,MW31
235,MW32_X69,145.28,211.49,297.38,MW32
236,MW33_X68,424.85,554.96,723.73,MW33
237,MW34_X70,399.99,593.31,844.08,MW34
238,MW35_X71,337.23,472.11,647.07,MW35
239,MW36_X72,106.75,176.88,267.84,MW36
240,MW37_X73,91.0,120.41,158.56,MW37
241,MW38_X74,99.17,132.19,175.01,MW38
242,MW39_X75,45.4,54.87,67.16,MW39
243,MW40_X76,17.35,25.49,36.05,MW40
244,MW41_X77,13.21,18.46,25.27,MW41
245,MW42_X78,85.1,113.22,149.71,MW42
246,MW43_X79,113.53,147.6,191.8,MW43
247,MW44_X80,70.34,100.63,139.94,MW44
248,MW45_X81,5134.5,6387.16,8012.07,MW45
249,MW46_X82,25.33,31.51,39.54,MW46
250,MW47_X83,4107.43,4770.11,5629.71,MW47
251,MW48_X84,59.74,90.5,130.39,MW48
252,MW49_X85,4179.3,4919.43,5879.51,MW49
253,MW50_X86,140.77,216.39,314.47,MW50
254,MW51_X87,4589.08,5561.83,6823.66,MW51
255,MW52_X88,5418.08,6856.69,8722.81,MW52
256,UGGVS1_X1,161.85,199.67,248.74,UGGVS1
257,UGGVS2_X2,6061.28,7402.42,9142.11,UGGVS2
258,UGGVS3_X3,2627.75,3263.31,4087.76,UGGVS3
259,UGGVS4_X4,234.97,348.51,495.78,UGGVS4
260,UGGVS5_X5,500.68,578.03,678.37,UGGVS5
261,UGGVS6_X6,598.5,698.92,829.19,UGGVS6
262,UGGVS7_X7,4042.19,4479.44,5046.64,UGGVS7
