placeName,placeCode,parentCode,glofasStation
TA Mkumpha,MW10601,MW106,no_station
TA Mlauli,MW31302,MW313,no_station
TA Mlolo,MW31104,MW311,G1724
TA Mlonyeni,MW20701,MW207,no_station
TA Mlumbe,MW30306,MW303,no_station
TA Mpama,MW30401,MW304,no_station
TA Mpando,MW20902,MW209,no_station
TA Mpherembe,MW10509,MW105,no_station
TA Mponda,MW30101,MW301,no_station
TA Msakambewa,MW20406,MW204,no_station
TA Mtwalo,MW10502,MW105,no_station
TA Musisya,MW10309,MW103,no_station
TA Mwabulambya,MW10101,MW101,no_station
TA Mwadzama,MW20205,MW202,no_station
TA Mwambo,MW30302,MW303,no_station
TA Mwamlowe,MW10402,MW104,no_station
TA Mwase,MW20114,MW201,no_station
TA Mwenemisuku,MW10102,MW101,no_station
TA Mwenewenya,MW10103,MW101,no_station
TA Mzikubola,MW10506,MW105,no_station
TA Mzukuzuku,MW10510,MW105,no_station
TA Nankumba,MW30103,MW301,no_station
TA Nazombe,MW30902,MW309,no_station
TA Nchema,MW30406,MW304,no_station
TA Nchilamwela,MW30708,MW307,no_station
TA Ndamera,MW31101,MW311,no_station
TA Ndindi,MW20505,MW205,no_station
TA Ngabu,MW31001,MW310,no_station
TA Ngabu,MW31108,MW311,no_station
TA Ngozi,MW31304,MW313,no_station
TA Njolomole,MW20906,MW209,no_station
TA Nkalo,MW30404,MW304,no_station
TA Nkanda,MW30805,MW308,no_station
TA Nsabwe,MW30701,MW307,G5670
TA Nsamala,MW31201,MW312,no_station
TA Nthache,MW30602,MW306,no_station
TA Nthalire,MW10104,MW101,no_station
TA Nthiramanja,MW30804,MW308,no_station
TA Nyachikadza,MW31103,MW311,no_station
TA Nyambi,MW30210,MW302,no_station
TA Pemba,MW20503,MW205,no_station
TA Pemba,MW20801,MW208,no_station
TA Phambala,MW20901,MW209,no_station
TA Santhe,MW20111,MW201,no_station
TA Somba,MW30508,MW305,no_station
TA Symon,MW31303,MW313,no_station
TA Tambala,MW20804,MW208,no_station
TA Tengani,MW31105,MW311,no_station
TA Thomas,MW30711,MW307,no_station
TA Timbiri,MW10312,MW103,no_station
TA Wasambo,MW10204,MW102,no_station
TA Wimbe,MW20112,MW201,no_station
TA Zolokere,MW10409,MW104,no_station
TA Zulu,MW20703,MW207,no_station
Thyolo Boma,MW30720,MW307,no_station
Viphya Ward,MW10744,MW107,no_station
Vwaza Marsh Reserve - Mzimba,MW10511,MW105,no_station
Vwaza Marsh Reserve - Rumphi,MW10411,MW104,no_station
Zakazaka Ward,MW31439,MW314,no_station
Zolozolo Ward,MW10733,MW107,no_station
Zomba Central Ward,MW31440,MW314,no_station
