,name,placeCodenew,glofasStation,Level,shapeGroup,placeCode,placeCodeParent1
239,Mikinduni Ward,KEN-ADM3-25604234B27034185,no_station,ADM3,KEN,KE0040190093,KE004019
240,Khorof/Harar Ward,KEN-ADM3-25604234B48692617,no_station,ADM3,KEN,KE0080340171,KE008034
241,Elben Ward,KEN-ADM3-25604234B73340685,no_station,ADM3,KEN,KE0080350172,KE008035
242,Sarman Ward,KEN-ADM3-25604234B45703739,no_station,ADM3,KEN,KE0080350173,KE008035
243,Tarbaj Ward,KEN-ADM3-25604234B71596408,no_station,ADM3,KEN,KE0080350174,KE008035
244,Wargadud Ward,KEN-ADM3-25604234B61942358,no_station,ADM3,KEN,KE0080350175,KE008035
245,Bura Ward,KEN-ADM3-25604234B56638397,no_station,ADM3,KEN,KE0060250122,KE006025
246,Hadado Athibohol Ward,KEN-ADM3-25604234B97460764,no_station,ADM3,KEN,KE0080360177,KE008036
247,Jomvu Kuu Ward,KEN-ADM3-25604234B3528880,no_station,ADM3,KEN,KE0010020006,KE001002
248,Mungoma Ward,KEN-ADM3-25604234B70127457,no_station,ADM3,KEN,KE0382111054,KE038211
249,Chesikaki Ward,KEN-ADM3-25604234B82634218,no_station,ADM3,KEN,KE0392161077,KE039216
250,Chepyuk Ward,KEN-ADM3-25604234B65664803,no_station,ADM3,KEN,KE0392161078,KE039216
251,Elgon Ward,KEN-ADM3-25604234B53840816,no_station,ADM3,KEN,KE0392161081,KE039216
