placeCode,ADM2_PCODE,name,PROVINCE,glofasStation
ZM080410603,ZM0804,Kasempa,North-Western,G1323
ZM080510703,ZM0805,Mufumbwe,North-Western,no_station
ZM080510711,ZM0805,Mufumbwe,North-Western,no_station
ZM080310514,ZM0803,Kabompo,North-Western,G1319
ZM080410611,ZM0804,Kasempa,North-Western,G1323
ZM080410615,ZM0804,Kasempa,North-Western,G1323
ZM030103816,ZM0301,Chadiza,Eastern,no_station
ZM030103704,ZM0301,Chadiza,Eastern,no_station
ZM030204117,ZM0302,Chipata,Eastern,no_station
ZM030204403,ZM0302,Chipata,Eastern,no_station
ZM090412217,ZM0904,Kalomo,Southern,G1352
ZM091113311,ZM0911,Sinazongwe,Southern,G1373
ZM091113307,ZM0911,Sinazongwe,Southern,G1373
ZM040506418,ZM0405,Mwense,Luapula,no_station
ZM040506417,ZM0405,Mwense,Luapula,no_station
ZM040106513,ZM0401,Chienge,Luapula,no_station
ZM040606612,ZM0406,Nchelenge,Luapula,no_station
ZM040606610,ZM0406,Nchelenge,Luapula,no_station
ZM040606611,ZM0406,Nchelenge,Luapula,no_station
ZM040406007,ZM0404,Milenge,Luapula,no_station
ZM080510715,ZM0805,Mufumbwe,North-Western,no_station
ZM090512102,ZM0905,Kazungula,Southern,G5696
ZM090612301,ZM0906,Livingstone,Southern,no_station
ZM090612304,ZM0906,Livingstone,Southern,no_station
ZM090211810,ZM0902,Gwembe,Southern,G1353
ZM040706716,ZM0407,Samfya,Luapula,no_station
ZM090412010,ZM0904,Kalomo,Southern,G1352
ZM090913108,ZM0909,Namwala,Southern,G1352
ZM090913102,ZM0909,Namwala,Southern,G1352
ZM040106501,ZM0401,Chienge,Luapula,no_station
ZM040106509,ZM0401,Chienge,Luapula,no_station
ZM090712621,ZM0907,Mazabuka,Southern,G1352
ZM090812706,ZM0908,Monze,Southern,G1352
ZM090812707,ZM0908,Monze,Southern,G1352
ZM090812808,ZM0908,Monze,Southern,G1352
ZM040305905,ZM0403,Mansa,Luapula,no_station
ZM040506202,ZM0405,Mwense,Luapula,no_station
ZM040205605,ZM0402,Kawambwa,Luapula,G1264
ZM090712404,ZM0907,Mazabuka,Southern,G1352
ZM090111603,ZM0901,Choma,Southern,G1351
ZM090111526,ZM0901,Choma,Southern,G1351
ZM090512107,ZM0905,Kazungula,Southern,G5696
ZM090612305,ZM0906,Livingstone,Southern,no_station
ZM090612307,ZM0906,Livingstone,Southern,no_station
ZM090211812,ZM0902,Gwembe,Southern,G1353
ZM040706712,ZM0407,Samfya,Luapula,no_station
ZM040706809,ZM0407,Samfya,Luapula,no_station
ZM040706804,ZM0407,Samfya,Luapula,no_station
ZM090411906,ZM0904,Kalomo,Southern,G1352
ZM090913112,ZM0909,Namwala,Southern,G1352
ZM090913105,ZM0909,Namwala,Southern,G1352
ZM040106504,ZM0401,Chienge,Luapula,no_station
ZM090111710,ZM0901,Choma,Southern,G1351
ZM090712515,ZM0907,Mazabuka,Southern,G1352
ZM090712618,ZM0907,Mazabuka,Southern,G1352
ZM090812813,ZM0908,Monze,Southern,G1352
ZM090812919,ZM0908,Monze,Southern,G1352
ZM040305901,ZM0403,Mansa,Luapula,no_station
ZM040406002,ZM0404,Milenge,Luapula,no_station
ZM040506206,ZM0405,Mwense,Luapula,no_station
ZM090512114,ZM0905,Kazungula,Southern,G5696
ZM090612312,ZM0906,Livingstone,Southern,no_station
ZM090612308,ZM0906,Livingstone,Southern,no_station
ZM090211808,ZM0902,Gwembe,Southern,G1353
ZM040706717,ZM0407,Samfya,Luapula,no_station
ZM090412007,ZM0904,Kalomo,Southern,G1352
ZM090411902,ZM0904,Kalomo,Southern,G1352
ZM090913103,ZM0909,Namwala,Southern,G1352
ZM040106502,ZM0401,Chienge,Luapula,no_station
ZM040106510,ZM0401,Chienge,Luapula,no_station
ZM090712510,ZM0907,Mazabuka,Southern,G1352
ZM090712620,ZM0907,Mazabuka,Southern,G1352
ZM090812701,ZM0908,Monze,Southern,G1352
ZM090812816,ZM0908,Monze,Southern,G1352
ZM040706915,ZM0407,Samfya,Luapula,no_station
ZM040306110,ZM0403,Mansa,Luapula,no_station
ZM040506205,ZM0405,Mwense,Luapula,no_station
ZM040205808,ZM0402,Kawambwa,Luapula,G1264
ZM090712408,ZM0907,Mazabuka,Southern,G1352
ZM090512110,ZM0905,Kazungula,Southern,G5696
ZM090612316,ZM0906,Livingstone,Southern,no_station
ZM090211801,ZM0902,Gwembe,Southern,G1353
ZM090211805,ZM0902,Gwembe,Southern,G1353
ZM040706721,ZM0407,Samfya,Luapula,no_station
ZM040706801,ZM0407,Samfya,Luapula,no_station
ZM090412008,ZM0904,Kalomo,Southern,G1352
ZM090411903,ZM0904,Kalomo,Southern,G1352
ZM090913110,ZM0909,Namwala,Southern,G1352
ZM040106503,ZM0401,Chienge,Luapula,no_station
ZM090111713,ZM0901,Choma,Southern,G1351
ZM090712513,ZM0907,Mazabuka,Southern,G1352
ZM090712622,ZM0907,Mazabuka,Southern,G1352
ZM090812818,ZM0908,Monze,Southern,G1352
ZM090812921,ZM0908,Monze,Southern,G1352
ZM040305902,ZM0403,Mansa,Luapula,no_station
ZM040306108,ZM0403,Mansa,Luapula,no_station
ZM040205606,ZM0402,Kawambwa,Luapula,G1264
ZM090712407,ZM0907,Mazabuka,Southern,G1352
ZM090111520,ZM0901,Choma,Southern,G1351
ZM090111518,ZM0901,Choma,Southern,G1351
ZM090512113,ZM0905,Kazungula,Southern,G5696
ZM090612314,ZM0906,Livingstone,Southern,no_station
ZM090612310,ZM0906,Livingstone,Southern,no_station
ZM090211807,ZM0902,Gwembe,Southern,G1353
ZM040706810,ZM0407,Samfya,Luapula,no_station
ZM040706807,ZM0407,Samfya,Luapula,no_station
ZM090412011,ZM0904,Kalomo,Southern,G1352
ZM090411905,ZM0904,Kalomo,Southern,G1352
ZM090913109,ZM0909,Namwala,Southern,G1352
ZM040106507,ZM0401,Chienge,Luapula,no_station
ZM090111711,ZM0901,Choma,Southern,G1351
ZM090712511,ZM0907,Mazabuka,Southern,G1352
ZM090812703,ZM0908,Monze,Southern,G1352
ZM090812815,ZM0908,Monze,Southern,G1352
ZM040706914,ZM0407,Samfya,Luapula,no_station
ZM040306111,ZM0403,Mansa,Luapula,no_station
ZM040506203,ZM0405,Mwense,Luapula,no_station
ZM040205604,ZM0402,Kawambwa,Luapula,G1264
ZM090712402,ZM0907,Mazabuka,Southern,G1352
ZM090111604,ZM0901,Choma,Southern,G1351
ZM090111519,ZM0901,Choma,Southern,G1351
ZM040706722,ZM0407,Samfya,Luapula,no_station
ZM040706806,ZM0407,Samfya,Luapula,no_station
ZM090412009,ZM0904,Kalomo,Southern,G1352
ZM090411904,ZM0904,Kalomo,Southern,G1352
ZM090913106,ZM0909,Namwala,Southern,G1352
ZM040106506,ZM0401,Chienge,Luapula,no_station
ZM090111712,ZM0901,Choma,Southern,G1351
ZM090712512,ZM0907,Mazabuka,Southern,G1352
ZM090712619,ZM0907,Mazabuka,Southern,G1352
ZM090812810,ZM0908,Monze,Southern,G1352
ZM090812811,ZM0908,Monze,Southern,G1352
ZM040305906,ZM0403,Mansa,Luapula,no_station
ZM040305907,ZM0403,Mansa,Luapula,no_station
ZM040205603,ZM0402,Kawambwa,Luapula,G1264
ZM090712401,ZM0907,Mazabuka,Southern,G1352
ZM090111607,ZM0901,Choma,Southern,G1351
ZM090111521,ZM0901,Choma,Southern,G1351
ZM100113626,ZM1001,Kalabo,Western,G1328
ZM100614913,ZM1006,Sesheke,Western,G1361
ZM100514504,ZM1005,Senanga,Western,G1361
ZM100414409,ZM1004,Mongu,Western,G1328
ZM040706805,ZM0407,Samfya,Luapula,no_station
ZM090411901,ZM0904,Kalomo,Southern,G1352
ZM090412014,ZM0904,Kalomo,Southern,G1352
ZM090913111,ZM0909,Namwala,Southern,G1352
ZM040306116,ZM0403,Mansa,Luapula,no_station
ZM040106511,ZM0401,Chienge,Luapula,no_station
ZM090712517,ZM0907,Mazabuka,Southern,G1352
ZM090812922,ZM0908,Monze,Southern,G1352
ZM090812817,ZM0908,Monze,Southern,G1352
ZM040706919,ZM0407,Samfya,Luapula,no_station
ZM040306112,ZM0403,Mansa,Luapula,no_station
ZM040205601,ZM0402,Kawambwa,Luapula,G1264
ZM040205810,ZM0402,Kawambwa,Luapula,G1264
ZM090111601,ZM0901,Choma,Southern,G1351
ZM090111527,ZM0901,Choma,Southern,G1351
ZM100113618,ZM1001,Kalabo,Western,G1328
ZM100614907,ZM1006,Sesheke,Western,G1361
ZM100414412,ZM1004,Mongu,Western,G1328
ZM100414328,ZM1004,Mongu,Western,G1328
ZM020702906,ZM0207,Masaiti,Copperbelt,no_station
ZM090412013,ZM0904,Kalomo,Southern,G1352
ZM090913114,ZM0909,Namwala,Southern,G1352
ZM040306115,ZM0403,Mansa,Luapula,no_station
ZM040106512,ZM0401,Chienge,Luapula,no_station
ZM090712514,ZM0907,Mazabuka,Southern,G1352
ZM090812809,ZM0908,Monze,Southern,G1352
ZM090812704,ZM0908,Monze,Southern,G1352
ZM090812920,ZM0908,Monze,Southern,G1352
ZM040305904,ZM0403,Mansa,Luapula,no_station
ZM040306114,ZM0403,Mansa,Luapula,no_station
ZM040506204,ZM0405,Mwense,Luapula,no_station
ZM040205802,ZM0402,Kawambwa,Luapula,G1264
ZM090712403,ZM0907,Mazabuka,Southern,G1352
ZM090111602,ZM0901,Choma,Southern,G1351
ZM090111525,ZM0901,Choma,Southern,G1351
ZM100113621,ZM1001,Kalabo,Western,G1328
ZM100514502,ZM1005,Senanga,Western,G1361
ZM100414414,ZM1004,Mongu,Western,G1328
ZM090111708,ZM0901,Choma,Southern,G1351
ZM090712516,ZM0907,Mazabuka,Southern,G1352
ZM090111709,ZM0901,Choma,Southern,G1351
ZM090812812,ZM0908,Monze,Southern,G1352
ZM090812705,ZM0908,Monze,Southern,G1352
ZM040305903,ZM0403,Mansa,Luapula,no_station
ZM040506201,ZM0405,Mwense,Luapula,no_station
ZM040205614,ZM0402,Kawambwa,Luapula,G1264
ZM040205813,ZM0402,Kawambwa,Luapula,G1264
ZM090712405,ZM0907,Mazabuka,Southern,G1352
ZM090111517,ZM0901,Choma,Southern,G1351
ZM100113623,ZM1001,Kalabo,Western,G1328
ZM100614908,ZM1006,Sesheke,Western,G1361
ZM100614909,ZM1006,Sesheke,Western,G1361
ZM100414415,ZM1004,Mongu,Western,G1328
ZM100414320,ZM1004,Mongu,Western,G1328
ZM050307105,ZM0503,Luangwa,Lusaka,G1353
ZM060608713,ZM0606,Nakonde,Muchiga,no_station
ZM090812814,ZM0908,Monze,Southern,G1352
ZM040706918,ZM0407,Samfya,Luapula,no_station
ZM040306113,ZM0403,Mansa,Luapula,no_station
ZM040205812,ZM0402,Kawambwa,Luapula,G1264
ZM040205809,ZM0402,Kawambwa,Luapula,G1264
ZM090712406,ZM0907,Mazabuka,Southern,G1352
ZM090111516,ZM0901,Choma,Southern,G1351
ZM100615015,ZM1006,Sesheke,Western,G1361
ZM100614910,ZM1006,Sesheke,Western,G1361
ZM100414317,ZM1004,Mongu,Western,G1328
ZM100414321,ZM1004,Mongu,Western,G1328
ZM100614806,ZM1006,Sesheke,Western,G1361
ZM050307107,ZM0503,Luangwa,Lusaka,G1353
