placeCode,name,glofasStation
ET010115,Dima (TG),no_station
ET070116,Emdebir town,no_station
ET030201,Ebenat,no_station
ET041005,Fedis,no_station
ET020201,Erebti,no_station
ET040705,Gimbichu,no_station
ET150110,Gende Kore,no_station
ET070113,Geta,no_station
ET051002,Elwayne,no_station
ET071016,Gacho Baba,no_station
ET070109,Gumer,no_station
ET020107,Dubti town,no_station
ET040210,Diga,no_station
ET070511,Gedeb town,no_station
ET070108,Endiguagn,no_station
ET010317,Geraleta,no_station
ET130105,Erer (HR),no_station
ET040407,Goma,no_station
ET040113,Gaji,no_station
ET071018,Garda Marta,no_station
ET050607,Ferfer,G1904
ET050698,Elale,no_station
ET050601,East Imi,G5081
ET071106,Gidi Bench,no_station
ET071803,Gori Gesha,no_station
ET030605,Enarj Enawga,no_station
ET070308,Durame town,no_station
ET010304,Ganta Afeshum,no_station
ET040324,Dorani,no_station
ET040907,Goba Koricha,no_station
ET010216,Egela,no_station
ET050696,Godey town,no_station
ET070903,Gewata,no_station
ET071007,Ezo /Kogota,no_station
ET070120,Enor Ener,no_station
ET040912,Gemechis,no_station
ET071801,Gachit,no_station
ET040193,Gimbi town,no_station
ET031110,Gonder Zuria,no_station
ET070306,Doyogena,no_station
ET120205,Dima (GM),no_station
ET070111,Enemor Ener,G6107
ET030905,Fagta Lakoma,no_station
ET031117,East Belesa,no_station
ET120206,Gambela town,G1603
ET070506,Gedeb,no_station
ET010405,Endamehoni,no_station
ET071704,Gena,no_station
ET020303,Gewane,G1053
ET030312,Gazo,no_station
ET041809,Gidami,no_station
ET030203,Fogera,G4965
ET031111,East Dembia,no_station
ET010114,Endabaguna town,no_station
ET040606,Gerar Jarso,no_station
ET030503,Ensaro,no_station
ET020102,Elidar,no_station
ET020305,Gelalu,no_station
ET040701,Fentale,G1074
ET040316,Hurumu,no_station
ET020402,Euwa,G1045
ET071013,Gerese,no_station
ET040590,Ejersa Lafo,no_station
ET020101,Dubti,G1045
ET030804,Gaz Gibla,no_station
ET050799,Galhamur,no_station
ET050595,Goglo,no_station
ET041410,Girja /Harenfema,no_station
ET031118,Gonder town,no_station
ET050703,Galadi,no_station
ET010404,Emba Alaje,no_station
ET030603,Goncha Siso Enebse,no_station
ET030508,Eferatana Gidem,no_station
ET051003,Garbo,no_station
ET070902,Gesha,no_station
ET040613,Fiche town,no_station
ET042107,Ginir town,no_station
ET042098,Gelana (Finfine),no_station
ET070103,Ezha,no_station
ET030604,Enebse Sarmder,no_station
ET120301,Godere,no_station
ET041089,Goro Muti,no_station
ET041903,Guduru,no_station
ET070618,Gununo Hamus town,no_station
ET050604,Gode,G1904
ET040803,Golocha,G5076
ET040991,Gumbi Bordede,no_station
ET041413,Gora Dola,no_station
ET060202,Guba,no_station
ET150112,Hafat Issa,no_station
ET041115,Gura Damole,no_station
ET040319,Halu /Huka,no_station
ET041003,Gursum (OR),no_station
ET070904,Gimbo,no_station
ET040819,Guna,no_station
ET051096,Hararey,no_station
ET030308,Habru,G1045
ET041490,Haro Walabu,no_station
ET010305,Hawzen,no_station
ET042101,Gololcha Bale,G5081
ET020405,Gulina,no_station
ET010217,Hahayle,no_station
ET030516,Hagere Mariam,no_station
ET030610,Guzamn,no_station
ET040103,Gimbi,no_station
ET041010,Goro Gutu,no_station
ET010605,Hagere Selam town,no_station
ET120203,Gog,G5056
ET040908,Habro,no_station
ET030212,Guna Begemider,no_station
ET070619,Hobicha Abaya,no_station
ET160018,Hawasa town,no_station
ET041019,Haromaya town,no_station
ET041783,Heban Arsi,no_station
ET040117,Homa,no_station
ET070312,Hadero town,no_station
ET041006,Haro Maya,no_station
ET050404,Hamero,no_station
ET041120,Goba town,no_station
ET041312,Goro (SW Shewa),no_station
ET070202,Gombora,no_station
ET050298,Haroreys,no_station
ET041111,Harena Buluk,no_station
ET050202,Gursum (SM),no_station
ET041801,Hawa Galan,no_station
ET050597,Higloley,no_station
ET060307,Homosha,no_station
ET070704,Hamer,G1901
ET010312,Hawzen town,no_station
ET051104,Hudet,no_station
ET070305,Hadero Tunto,no_station
ET041110,Goba (OR),no_station
ET040915,Hawi Gudina,no_station
ET160011,Gorche,no_station
ET010603,Hintalo,no_station
ET041509,Hambela Wamena,no_station
ET050299,Harawo,no_station
ET160002,Hawassa Zuria,no_station
ET042020,Holeta town,no_station
ET020307,Hanruka,no_station
ET050904,Guradamole,G5115
ET030602,Hulet Ej Enese,no_station
ET130104,Hakim,no_station
ET070211,Hosaena town,no_station
ET010108,Indasilassie town,no_station
ET160023,Hawela,no_station
ET030907,Guagusa Shikudad,no_station
ET071102,Gurafereda,no_station
ET040202,Ibantu,no_station
ET010301,Gulo Mekeda,no_station
ET041901,Horo,no_station
ET070604,Humbo,no_station
ET160031,Hokko,no_station
ET030499,Hike town,no_station
ET040109,Gudetu Kondole,no_station
ET050305,Gunagado,no_station
ET160007,Hulla,no_station
ET070214,Jajura town,no_station
ET050106,Hadhagala,no_station
